1	12498
2	14165
3	16049
4	18196
5	21353
6	23172
7	24381
8	25049
9	25548
10	25849
11	26366
12	27275
13	28153
14	29011
15	29639
16	29695
17	29482
18	28907
19	27936
20	26650
21	24798
22	22405
23	19890
24	17400
25	14946
26	12700
27	10576
28	8301
29	5890
30	3890
31	2502
32	1938
33	2083
34	2559
35	3004
36	2968
37	2402
38	1683
39	938
40	306
41	49
42	22
43	-30
44	-147
45	-235
46	-346
47	-687
48	-1079
49	-1178
50	-1035
51	-569
52	691
53	2553
54	4148
55	5217
56	5661
57	5043
58	3785
59	2533
60	1494
61	816
62	387
63	30
64	-150
65	-182
66	-64
67	411
68	1193
69	1823
70	1940
71	1607
72	1039
73	286
74	-374
75	-658
76	-661
77	-673
78	-783
79	-783
80	-537
81	-109
82	619
83	1607
84	2424
85	2753
86	2724
87	2529
88	2135
89	1279
90	212
91	-808
92	-2032
93	-3162
94	-3646
95	-3579
96	-3282
97	-2863
98	-2501
99	-2044
100	-1541
101	-1020
102	-300
103	758
104	1850
105	2784
106	3495
107	3963
108	3807
109	3073
110	2185
111	1159
112	178
113	-744
114	-1588
115	-2058
116	-2070
117	-1949
118	-1762
119	-1608
120	-1536
121	-1743
122	-1977
123	-1687
124	-1225
125	-1015
126	-969
127	-1178
128	-1721
129	-2148
130	-2271
131	-2431
132	-2741
133	-3146
134	-3329
135	-2197
136	358
137	938
138	1196
139	1380
140	1715
141	2365
142	3345
143	4441
144	5414
145	6165
146	6799
147	7478
148	8156
149	8784
150	9417
151	10018
152	10597
153	11360
154	12543
155	14085
156	15706
157	17379
158	19041
159	20354
160	21446
161	22666
162	23871
163	25021
164	26220
165	27165
166	27665
167	27886
168	27952
169	27970
170	27979
171	27727
172	26975
173	25738
174	23915
175	21535
176	19095
177	16779
178	14275
179	11619
180	9102
181	6751
182	4621
183	2993
184	1944
185	1178
186	460
187	-74
188	-427
189	-870
190	-1217
191	-1241
192	-1272
193	-1383
194	-1328
195	-1185
196	-1058
197	-1085
198	-1269
199	-1568
200	-2113
201	-2923
202	-3660
203	-3976
204	-3817
205	-3198
206	-2117
207	-856
208	345
209	1089
210	1518
211	2040
212	2028
213	2235
214	1878
215	1508
216	1088
217	332
218	-467
219	-1007
220	-1330
221	-1259
222	-696
223	-81
224	242
225	134
226	-419
227	-1124
228	-1757
229	-2197
230	-2238
231	-2002
232	-1793
233	-1512
234	-1128
235	-909
236	-760
237	-517
238	-340
239	-253
240	-227
241	-306
242	-462
243	-696
244	-910
245	-1014
246	-1102
247	-1117
248	-990
249	-926
250	-996
251	-1165
252	-1483
253	-1752
254	-1724
255	-1366
256	-558
257	522
258	1277
259	1564
260	1612
261	1493
262	1512
263	2016
264	2748
265	3353
266	3686
267	3517
268	2873
269	2071
270	1235
271	497
272	-124
273	-619
274	-1025
275	-891
276	-866
277	-794
278	-767
279	-1010
280	-1599
281	-2317
282	-2724
283	-2869
284	-2770
285	-2595
286	-2223
287	-1883
288	-1538
289	-851
290	1024
291	4447
292	9368
293	15923
294	23074
295	30109
296	35874
297	38921
298	38640
299	34990
300	28072
301	18969
302	9885
303	2778
304	-1469
305	-2649
306	-1357
307	834
308	2655
309	3798
310	4137
311	3757
312	3322
313	3147
314	2755
315	2113
316	1773
317	1568
318	1215
319	1336
320	2104
321	2917
322	1695
323	2388
324	3183
325	3853
326	4454
327	4950
328	5486
329	5998
330	6384
331	6945
332	7837
333	8966
334	10191
335	11260
336	12045
337	12485
338	12641
339	12857
340	13497
341	14931
342	16806
343	18972
344	21217
345	23453
346	25408
347	26822
348	27899
349	28864
350	29407
351	29560
352	29820
353	30094
354	30193
355	30371
356	30540
357	30486
358	29636
359	28214
360	26341
361	24320
362	22222
363	19987
364	17791
365	15660
366	13504
367	11458
368	9737
369	8301
370	6928
371	5661
372	4715
373	3891
374	2896
375	2012
376	1444
377	954
378	680
379	911
380	1382
381	1784
382	2085
383	2200
384	2152
385	2242
386	2512
387	3073
388	3584
389	3858
390	3723
391	3235
